iter	Passed	Remaining
147	1074	6183
148	1080	6172
149	1085	6148
150	1089	6125
151	1095	6111
152	1121	6206
153	1180	6484
154	1185	6461
155	1190	6438
156	1197	6429
157	1202	6408
158	1208	6393
159	1232	6468
160	1236	6445
161	1243	6432
162	1251	6426
163	1258	6412
164	1264	6397
165	1271	6387
166	1277	6372
167	1282	6351
168	1316	6471
169	1332	6506
170	1352	6556
171	1358	6538
172	1362	6512
173	1399	6643
174	1406	6628
175	1415	6628
176	1429	6646
177	1440	6653
178	1444	6624
179	1448	6598
180	1456	6588
181	1461	6567
182	1466	6546
183	1473	6533
184	1477	6507
185	1480	6480
186	1485	6458
187	1489	6434
188	1493	6410
189	1497	6385
190	1502	6364
191	1506	6339
192	1510	6314
193	1513	6289
194	1521	6280
195	1525	6258
196	1529	6233
197	1534	6213
198	1537	6189
199	1542	6170
200	1546	6147
201	1553	6135
202	1556	6111
203	1561	6091
204	1566	6076
205	1573	6065
206	1577	6043
207	1583	6029
208	1587	6007
209	1591	5986
210	1598	5978
211	1606	5971
212	1616	5974
213	1622	5961
214	1629	5948
215	1635	5935
216	1640	5918
217	1646	5905
218	1651	5888
219	1655	5868
220	1659	5848
221	1664	5832
222	1668	5814
223	1673	5795
224	1678	5782
225	1682	5763
226	1686	5744
227	1692	5730
228	1696	5711
229	1701	5696
230	1705	5677
231	1711	5664
232	1715	5646
233	1719	5629
234	1725	5615
235	1729	5599
236	1734	5583
237	1738	5567
238	1743	5552
239	1747	5534
240	1751	5516
241	1757	5504
242	1761	5486
243	1765	5470
244	1777	5476
245	1782	5464
246	1789	5455
247	1793	5437
248	1797	5421
249	1801	5405
250	1805	5388
251	1809	5371
252	1813	5354
253	1818	5339
254	1822	5325
255	1827	5312
256	1831	5294
257	1836	5283
258	1841	5267
259	1844	5250
260	1848	5234
261	1853	5222
262	1858	5207
263	1862	5191
264	1868	5183
265	1872	5167
266	1877	5153
267	1882	5141
268	1888	5130
269	1892	5115
270	1895	5099
271	1901	5089
272	1906	5075
273	1909	5060
274	1914	5046
275	1918	5033
276	1922	5017
277	1926	5003
278	1932	4993
279	1936	4979
280	1940	4964
281	1948	4960
282	1953	4949
283	1957	4936
284	1965	4930
285	1968	4915
286	1972	4901
287	1977	4888
288	1982	4876
289	1985	4860
290	1988	4844
291	1991	4828
292	1995	4815
293	1998	4798
294	2001	4782
295	2004	4767
296	2008	4754
297	2013	4742
298	2016	4727
299	2019	4712
300	2022	4696
301	2026	4684
302	2029	4668
303	2032	4653
304	2035	4637
305	2038	4623
306	2042	4610
307	2045	4595
308	2048	4580
309	2051	4566
310	2054	4551
311	2058	4539
312	2061	4525
313	2064	4510
314	2067	4496
315	2071	4483
316	2074	4469
317	2077	4455
318	2080	4441
319	2083	4427
320	2086	4414
321	2089	4400
322	2092	4386
323	2097	4375
324	2102	4366
325	2106	4354
326	2109	4341
327	2112	4328
328	2115	4314
329	2120	4304
330	2123	4291
331	2126	4278
332	2129	4265
333	2132	4252
334	2136	4240
335	2139	4227
336	2141	4214
337	2145	4201
338	2148	4188
339	2152	4177
340	2155	4164
341	2158	4151
342	2160	4139
343	2164	4127
344	2167	4115
345	2170	4102
346	2173	4090
347	2176	4077
348	2179	4065
349	2182	4054
350	2186	4042
351	2189	4030
352	2192	4017
353	2196	4008
354	2199	3997
355	2202	3984
356	2205	3972
357	2208	3961
358	2213	3952
359	2217	3941
360	2220	3929
361	2222	3917
362	2226	3907
363	2230	3896
364	2233	3885
365	2236	3874
366	2239	3863
367	2245	3855
368	2249	3846
369	2253	3837
370	2258	3828
371	2262	3820
372	2267	3810
373	2271	3801
374	2277	3796
375	2281	3786
376	2284	3775
377	2287	3764
378	2294	3759
379	2298	3750
380	2302	3740
381	2309	3736
382	2313	3727
383	2317	3717
384	2322	3710
385	2328	3704
386	2332	3694
387	2337	3686
388	2344	3682
389	2348	3672
390	2354	3667
391	2359	3659
392	2363	3650
393	2367	3641
394	2372	3633
395	2376	3624
396	2379	3614
397	2385	3607
398	2389	3598
399	2394	3591
400	2399	3583
401	2405	3578
402	2409	3569
403	2414	3561
404	2419	3554
405	2423	3545
406	2426	3534
407	2429	3524
408	2433	3516
409	2436	3506
410	2439	3495
411	2442	3485
412	2445	3475
413	2449	3467
414	2452	3457
415	2455	3446
416	2458	3437
417	2462	3428
418	2466	3419
419	2469	3410
420	2472	3400
421	2475	3390
422	2478	3381
423	2482	3372
424	2485	3362
425	2489	3353
426	2492	3344
427	2497	3337
428	2500	3327
429	2503	3318
430	2506	3309
431	2510	3301
432	2514	3292
433	2517	3283
434	2520	3273
435	2523	3264
436	2528	3257
437	2531	3247
438	2534	3238
439	2537	3229
440	2539	3219
441	2544	3212
442	2547	3202
443	2550	3193
444	2552	3183
445	2558	3177
446	2562	3170
447	2566	3161
448	2569	3153
449	2574	3146
450	2577	3137
451	2580	3128
452	2583	3119
453	2586	3110
454	2590	3103
455	2593	3094
456	2596	3085
457	2599	3076
458	2602	3067
459	2607	3060
460	2609	3051
461	2613	3043
462	2616	3034
463	2619	3025
464	2623	3018
465	2626	3010
466	2629	3001
467	2632	2992
468	2635	2984
469	2639	2976
470	2642	2967
471	2645	2959
472	2648	2950
473	2651	2942
474	2654	2934
475	2657	2926
476	2661	2917
477	2663	2909
478	2667	2900
479	2670	2893
480	2674	2885
481	2677	2877
482	2680	2869
483	2685	2863
484	2688	2855
485	2691	2847
486	2694	2838
487	2697	2830
488	2701	2822
489	2704	2814
490	2707	2806
491	2711	2800
492	2717	2794
493	2721	2787
494	2727	2782
495	2730	2774
496	2733	2766
497	2736	2758
498	2739	2750
499	2743	2743
500	2746	2735
501	2749	2727
502	2752	2719
503	2755	2711
504	2759	2704
505	2762	2697
506	2765	2689
507	2768	2681
508	2771	2673
509	2776	2667
510	2779	2659
511	2782	2651
512	2785	2644
513	2788	2636
514	2792	2630
515	2795	2622
516	2798	2614
517	2801	2606
518	2804	2599
519	2808	2592
520	2811	2585
521	2814	2577
522	2817	2569
523	2820	2562
524	2824	2555
525	2827	2547
526	2830	2540
527	2833	2532
528	2837	2526
529	2840	2518
530	2842	2510
531	2845	2503
532	2848	2496
533	2852	2488
534	2855	2482
535	2859	2475
536	2861	2467
537	2865	2460
538	2872	2456
539	2877	2451
540	2881	2444
541	2886	2439
542	2890	2432
543	2893	2425
544	2895	2417
545	2899	2410
546	2903	2404
547	2906	2397
548	2909	2390
549	2912	2382
550	2916	2376
551	2919	2369
552	2922	2362
553	2925	2354
554	2928	2347
555	2931	2341
556	2935	2334
557	2938	2327
558	2941	2320
559	2943	2313
560	2947	2306
561	2950	2299
562	2953	2292
563	2957	2286
564	2961	2280
565	2967	2275
566	2970	2268
567	2975	2262
568	2981	2258
569	2985	2252
570	2988	2245
571	2991	2238
572	2996	2233
573	3000	2226
574	3003	2220
575	3007	2213
576	3012	2208
577	3016	2202
578	3021	2197
579	3025	2191
580	3030	2185
581	3033	2178
582	3037	2172
583	3041	2166
584	3046	2161
585	3051	2155
586	3054	2149
587	3058	2143
588	3063	2137
589	3068	2132
590	3071	2125
591	3077	2120
592	3081	2114
593	3085	2108
594	3090	2103
595	3094	2097
596	3097	2091
597	3100	2084
598	3103	2077
599	3108	2072
600	3113	2066
601	3116	2060
602	3120	2054
603	3123	2047
604	3126	2041
605	3129	2034
606	3132	2028
607	3136	2022
608	3139	2015
609	3142	2009
610	3146	2003
611	3149	1996
612	3153	1991
613	3156	1984
614	3159	1978
615	3162	1971
616	3165	1965
617	3170	1959
618	3173	1953
619	3176	1946
620	3179	1940
621	3181	1933
622	3186	1928
623	3189	1921
624	3192	1915
625	3195	1908
626	3198	1902
627	3202	1897
628	3206	1891
629	3209	1885
630	3213	1878
631	3219	1874
632	3224	1869
633	3227	1863
634	3232	1858
635	3236	1852
636	3241	1846
637	3244	1840
638	3249	1835
639	3253	1829
640	3256	1823
641	3259	1817
642	3265	1812
643	3268	1807
644	3273	1801
645	3276	1795
646	3281	1790
647	3285	1784
648	3288	1778
649	3292	1772
650	3297	1767
651	3301	1762
652	3304	1756
653	3308	1750
654	3312	1744
655	3316	1738
656	3319	1733
657	3323	1727
658	3329	1722
659	3332	1716
660	3336	1710
661	3339	1704
662	3344	1699
663	3347	1694
664	3350	1688
665	3353	1682
666	3358	1676
667	3361	1670
668	3364	1664
669	3366	1658
670	3369	1652
671	3373	1646
672	3377	1640
673	3380	1634
674	3382	1628
675	3385	1622
676	3389	1616
677	3393	1611
678	3396	1605
679	3399	1599
680	3402	1593
681	3406	1588
682	3411	1583
683	3416	1578
684	3419	1572
685	3423	1567
686	3428	1562
687	3431	1556
688	3434	1550
689	3438	1545
690	3442	1539
691	3445	1533
692	3448	1527
693	3451	1522
694	3457	1517
695	3461	1511
696	3464	1506
697	3467	1500
698	3472	1495
699	3474	1489
700	3477	1483
701	3480	1477
702	3484	1471
703	3487	1466
704	3490	1460
705	3492	1454
706	3496	1448
707	3498	1442
708	3502	1437
709	3506	1432
710	3508	1426
711	3511	1420
712	3514	1414
713	3517	1409
714	3521	1403
715	3524	1398
716	3528	1392
717	3533	1387
718	3537	1382
719	3540	1377
720	3544	1371
721	3549	1366
722	3553	1361
723	3556	1355
724	3561	1350
725	3568	1346
726	3571	1341
727	3575	1335
728	3581	1331
729	3585	1326
730	3589	1320
731	3593	1315
732	3598	1310
733	3602	1305
734	3606	1300
735	3611	1295
736	3615	1290
737	3620	1285
738	3625	1280
739	3628	1275
740	3632	1269
741	3636	1264
742	3640	1259
743	3644	1254
744	3648	1248
745	3651	1243
746	3655	1237
747	3659	1232
748	3662	1227
749	3666	1222
750	3669	1216
751	3674	1211
752	3678	1206
753	3681	1201
754	3684	1195
755	3687	1190
756	3691	1185
757	3694	1179
758	3697	1174
759	3700	1168
760	3705	1163
761	3708	1158
762	3711	1152
763	3714	1147
764	3717	1141
765	3722	1137
766	3725	1131
767	3728	1126
768	3732	1121
769	3735	1115
770	3739	1110
771	3742	1105
772	3745	1099
773	3748	1094
774	3756	1090
775	3760	1085
776	3764	1080
777	3769	1075
778	3772	1070
779	3775	1064
780	3778	1059
781	3780	1054
782	3785	1049
783	3788	1043
784	3791	1038
785	3794	1033
786	3796	1027
787	3801	1022
788	3804	1017
789	3807	1012
790	3810	1006
791	3813	1001
792	3817	996
793	3820	991
794	3823	985
795	3826	980
796	3829	975
797	3833	970
798	3836	965
799	3839	959
800	3842	954
801	3845	949
802	3849	944
803	3852	939
804	3855	934
805	3858	928
806	3861	923
807	3865	918
808	3869	913
809	3872	908
810	3875	903
811	3879	898
812	3881	892
813	3884	887
814	3887	882
815	3890	877
816	3893	872
817	3897	867
818	3903	862
819	3906	857
820	3912	852
821	3915	847
822	3918	842
823	3921	837
824	3924	832
825	3928	827
826	3931	822
827	3935	817
828	3938	812
829	3944	807
830	3947	802
831	3951	797
832	3954	792
833	3959	788
834	3962	782
835	3965	777
836	3968	772
837	3972	768
838	3976	763
839	3980	758
840	3983	753
841	3987	748
842	3992	743
843	3996	738
844	3999	733
845	4003	728
846	4007	723
847	4011	719
848	4014	713
849	4017	708
850	4021	704
851	4024	699
852	4027	694
853	4030	689
854	4034	684
855	4039	679
856	4042	674
857	4045	669
858	4050	664
859	4057	660
860	4061	655
861	4065	650
862	4070	646
863	4075	641
864	4079	636
865	4084	631
866	4088	627
867	4091	622
868	4094	617
869	4097	612
870	4101	607
871	4104	602
872	4107	597
873	4110	592
874	4113	587
875	4118	582
876	4121	578
877	4124	573
878	4127	568
879	4130	563
880	4134	558
881	4137	553
882	4140	548
883	4145	543
884	4150	539
885	4154	534
886	4158	529
887	4162	525
888	4166	520
889	4170	515
890	4174	510
891	4178	505
892	4183	501
893	4187	496
894	4190	491
895	4194	486
896	4199	482
897	4203	477
898	4207	472
899	4212	468
900	4217	463
901	4222	458
902	4229	454
903	4233	449
904	4237	444
905	4242	440
906	4246	435
907	4250	430
908	4253	425
909	4258	421
910	4262	416
911	4266	411
912	4270	406
913	4274	402
914	4278	397
915	4283	392
916	4287	388
917	4292	383
918	4296	378
919	4300	373
920	4303	369
921	4308	364
922	4312	359
923	4316	355
924	4321	350
925	4325	345
926	4329	340
927	4333	336
928	4337	331
929	4341	326
930	4345	322
931	4349	317
932	4353	312
933	4357	307
934	4361	303
935	4365	298
936	4373	294
937	4377	289
938	4382	284
939	4387	280
940	4391	275
941	4395	270
942	4398	265
943	4403	261
944	4409	256
945	4413	251
946	4419	247
947	4424	242
948	4428	238
949	4433	233
950	4440	228
951	4444	224
952	4448	219
953	4452	214
954	4456	210
955	4461	205
956	4467	200
957	4471	196
958	4475	191
959	4481	186
960	4485	182
961	4489	177
962	4493	172
963	4499	168
964	4503	163
965	4507	158
966	4512	153
967	4517	149
968	4524	144
969	4532	140
970	4537	135
971	4542	130
972	4549	126
973	4554	121
974	4560	116
975	4565	112
976	4570	107
977	4574	102
978	4579	98
979	4582	93
980	4586	88
981	4590	84
982	4594	79
983	4598	74
984	4602	70
985	4606	65
986	4611	60
987	4615	56
988	4619	51
989	4623	46
990	4629	42
991	4633	37
992	4637	32
993	4642	28
994	4646	23
995	4650	18
996	4654	14
997	4658	9
998	4661	4
999	4665	0
